,0
0,Rookantha Gunathilake
1,Priya Suriyasena
2,Annesley Malewana
3,Bathiya and Santhush
4,Dayasiri Jayasekara
5,Sahan Ranwala
6,Vijaya Kumaranatunga
7,The Moonstones
8,Ceylon Manohar
9,Nanda Malini
10,Umaria Sinhawansa
11,Doctor
12,Pradeep Rangana
13,Nalin Jayawardena
14,Henry Caldera
15,Rodney Warnakula
16,Milton Mallawarachchi
17,Dushyanth Weeraman
18,Chandralekha Perera
19,W. D. Amaradeva
20,Lakshman Joseph De Saram
21,Karunarathna Divulgane
22,Mercy Edirisinghe
23,Mathangi Arulpragasam
24,Mohideen Baig
25,H. R. Jothipala
26,Namal Udugama
27,Chitral Somapala
28,Kamal Addararachchi
29,Kasun Kalhara
30,Lahiru Perera
31,Premasiri Khemadasa
32,Jackson Anthony
33,Yolande Bavan
34,Anton Jones
35,Athma Liyanage
36,La Bambas
37,Dinesh Subasinghe
38,Nirosha Virajini
39,Sachith Peiris
40,The Gypsies (Sri Lankan band)
41,Ajith Bandara
42,Mariazelle Goonetilleke
43,Sujatha Aththanayaka
44,Iraj Weeraratne
45,Saheli Rochana Gamage
46,Gresha Schuilling
47,Indrani Perera
48,Eddie Jayamanne
49,Prince Udaya Priyantha
50,Narada Disasekara
51,Rukmani Devi
52,Sunflowers (band)
53,Shihan Mihiranga Bennet
54,Rohan de Saram
55,Falan Andrea
56,Tharanga Goonetilleke
57,Victor Ratnayake
58,Paranoid Earthling
59,Edward Jayakody
60,Yohani
61,Amarasiri Peiris
62,Dasun Madushan
63,Neela Wickramasinghe
64,C.T. Fernando
65,M. S. Fernando
66,Kumar Navaratnam
67,Gunadasa Kapuge
68,R. Muttusamy
69,Gaurav Dagaonkar
70,Ranidu Lankage
71,Nimal Mendis
72,Ravi Kesavaram
73,Rukshan Perera
74,Sisira Senaratne
75,Keerthi Pasquel
76,Dayan Witharana
77,Sunil Edirisinghe
78,Nalin Perera
79,Dhanith Sri
80,Sanath Nandasiri
81,Mignonne Fernando
82,Jagath Wickramasinghe
83,Abhisheka Wimalaweera
84,Mohammed Gauss
85,Clarence Wijewardane
86,Paul Fernando
87,Anil Mihiripenna
88,Ananda Samarakone
89,Chandrasena Hettiarachchi
90,Latha Walpola
91,T. M. Jayaratne
92,J. A. Milton Perera
93,Sunil Perera
94,Sadiris Master
95,Stigmata (Sri Lankan band)
96,Lionel Ranwala
97,Freddie Silva
98,Cliff Foenander
99,Rohana Weerasinghe
100,Pandith Amaradeva
101,Nihal Nelson
102,J. P. Chandrababu
103,Tanya Ekanayaka
104,Sashika Nisansala
105,Som Wardner
106,Stanley Peiris
107,Indrachapa Liyanage
108,Sunil Santha
109,Allen Ratnayake
110,Tariq Hisny
111,Uresha Ravihari
112,Bathiya Jaykody
113,Desmond de Silva
114,Nadeeka Guruge
